"crew_id","crew_name","role","nationality"
1,"Captain Rajeev Menon","Pilot","India"
2,"Captain Anita Nair","Pilot","India"
3,"First Officer Sunil Kumar","Co-Pilot","India"
4,"First Officer Priya Dey","Co-Pilot","India"
5,"Flight Attendant Neha Kapoor","Flight Attendant","India"
6,"Flight Attendant Rahul Das","Flight Attendant","India"
7,"Flight Attendant Smita Rao","Flight Attendant","India"
8,"Flight Attendant Ajay Verma","Flight Attendant","India"
9,"Engineer John Mathew","Engineer","India"
10,"Engineer Sneha Roy","Engineer","India"
11,"Captain Mark Thompson","Pilot","UK"
12,"Captain Lisa Green","Pilot","USA"
13,"First Officer Tom White","Co-Pilot","USA"
14,"First Officer Sarah Lee","Co-Pilot","Canada"
15,"Flight Attendant Emily Davis","Flight Attendant","USA"
16,"Flight Attendant Carlos Mendez","Flight Attendant","Mexico"
17,"Flight Attendant Anna Smith","Flight Attendant","UK"
18,"Flight Attendant Lina Park","Flight Attendant","South Korea"
19,"Engineer Ali Hassan","Engineer","UAE"
20,"Engineer David Wong","Engineer","Singapore"
21,"Captain Mohan Iyer","Pilot","India"
22,"First Officer Karthik Sharma","Co-Pilot","India"
23,"Flight Attendant Ramesh Gupta","Flight Attendant","India"
24,"Flight Attendant Kavita Joshi","Flight Attendant","India"
25,"Engineer Varun Nair","Engineer","India"
26,"Engineer Deepa Reddy","Engineer","India"
27,"Captain Ravi Shankar","Pilot","India"
28,"First Officer Arvind Desai","Co-Pilot","India"
29,"Flight Attendant Meena Pillai","Flight Attendant","India"
30,"Flight Attendant Suresh Babu","Flight Attendant","India"
