"passenger_id","passenger_name","passport_number","nationality"
1,"Amit Kumar","P1234567","India"
2,"Neha Sharma","P2345678","India"
3,"Rahul Mehta","P3456789","India"
4,"Priya Singh","P4567890","India"
5,"Sunil Reddy","P5678901","India"
6,"Meera Nair","P6789012","India"
7,"Sanjay Gupta","P7890123","India"
8,"Anita Das","P8901234","India"
9,"Vikram Rao","P9012345","India"
10,"Divya Iyer","P0123456","India"
11,"John Doe","A1234567","USA"
12,"Jane Smith","A2345678","USA"
13,"Carlos Rivera","A3456789","Mexico"
14,"Emily Brown","A4567890","UK"
15,"Ali Khan","A5678901","Pakistan"
16,"Fatima Zahra","A6789012","Morocco"
17,"David Lee","A7890123","Canada"
18,"Sara Kim","A8901234","South Korea"
19,"Mohammed Al Farsi","A9012345","Oman"
20,"Lina Chen","A0123456","China"
21,"Raj Patel","B1234567","India"
22,"Sneha Kulkarni","B2345678","India"
23,"Arjun Desai","B3456789","India"
24,"Kiran Joshi","B4567890","India"
25,"Rohit Malhotra","B5678901","India"
26,"Pooja Verma","B6789012","India"
27,"Abhishek Sinha","B7890123","India"
28,"Ritu Kapoor","B8901234","India"
29,"Nikhil Jain","B9012345","India"
30,"Swati Bansal","B0123456","India"
